IP: /0:0:0:0:0:0:0:1:4344 Date: Sun, 04 May 2014 12:23:04 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4447 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4448 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4449 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4450 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4451 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4453 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4454 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4456 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4452 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4455 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
IP: /0:0:0:0:0:0:0:1:4458 Date: Sun, 04 May 2014 12:24:39 -0400 User-Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:29.0) Gecko/20100101 Firefox/29.0
